55 seconds, 12 kills, 3 wave, 67 shots, 17% accuracy
330 seconds, 590 kills, 11 wave, 1247 shots, 47% accuracy
381 seconds, 723 kills, 12 wave, 2008 shots, 36% accuracy
36 seconds, 4 kills, 2 wave, 50 shots, 8% accuracy
45 seconds, 5 kills, 2 wave, 11 shots, 45% accuracy
59 seconds, 22 kills, 3 wave, 121 shots, 18% accuracy
43 seconds, 5 kills, 2 wave, 16 shots, 31% accuracy
232 seconds, 333 kills, 8 wave, 1167 shots, 28% accuracy
84 seconds, 53 kills, 4 wave, 172 shots, 30% accuracy
114 seconds, 95 kills, 5 wave, 417 shots, 22% accuracy
428 seconds, 858 kills, 13 wave, 3120 shots, 27% accuracy
116 seconds, 85 kills, 5 wave, 195 shots, 43% accuracy
97 seconds, 72 kills, 4 wave, 147 shots, 48% accuracy
272 seconds, 422 kills, 9 wave, 950 shots, 44% accuracy
60 seconds, 22 kills, 3 wave, 79 shots, 27% accuracy
44 seconds, 8 kills, 2 wave, 139 shots, 5% accuracy
39 seconds, 1 kills, 2 wave, 16 shots, 6% accuracy
340 seconds, 616 kills, 11 wave, 1656 shots, 37% accuracy
384 seconds, 760 kills, 12 wave, 2041 shots, 37% accuracy
38 seconds, 0 kills, 2 wave, 0 shots, 0% accuracy
45 seconds, 3 kills, 2 wave, 3 shots, 100% accuracy
272 seconds, 440 kills, 9 wave, 1401 shots, 31% accuracy
35 seconds, 0 kills, 2 wave, 0 shots, 0% accuracy
34 seconds, 0 kills, 2 wave, 0 shots, 0% accuracy
34 seconds, 0 kills, 2 wave, 0 shots, 0% accuracy
37 seconds, 0 kills, 2 wave, 0 shots, 0% accuracy
88 seconds, 1 kills, 2 wave, 1 shots, 100% accuracy
35 seconds, 0 kills, 2 wave, 0 shots, 0% accuracy
361 seconds, 665 kills, 11 wave, 1665 shots, 39% accuracy
20 seconds, 12 kills, 1 wave, 23 shots, 52% accuracy
14 seconds, 0 kills, 1 wave, 0 shots, 0% accuracy
20 seconds, 13 kills, 1 wave, 13 shots, 100% accuracy
340 seconds, 606 kills, 11 wave, 1456 shots, 41% accuracy
